id_A,id_B,predicted_match,hotel_name,address,city,country,latitude,longitude,rating,reviews_count,enriched_category_stars,enriched_review_score,enriched_amenities
A00092,B00081,1,Inn Paulista,Praça Augusta 7997,Madrid,ES,40.423421,-3.706885,4.0,784.0,5.0,8.8,"pool, gym, wifi, restaurant, pet_friendly"
A00105,B00094,1,Residency Gaudí Saint,"Avenue Europa, 2157",Madrid,ES,40.50898,-3.68218,4.1,565.0,5.0,9.6,"gym, bar, pet_friendly, spa, air_conditioning"
A00121,B00110,1,Residency Lumière II,"Avenida da República, 8718",Madrid,ES,40.510734,-3.687204,4.4,199.0,5.0,7.4,"pet_friendly, pool, restaurant"
A00131,B00120,1,Suites Paulista Saint,"Rua Central, 4671",Madrid,ES,40.359691,-3.783282,3.6,500.0,5.0,9.4,"gym, bar, wifi, parking, air_conditioning, pet_friendly"
A00144,B00133,1,Hotel Cathedral,Avenue Liberdade 4243,Madrid,ES,40.335758,-3.613277,3.4,243.0,5.0,8.4,"wifi, parking, gym, air_conditioning"
A00146,B00135,1,Pousada Augusta II,"Rua Europa, 1388",Madrid,ES,40.434808,-3.698071,3.3,434.0,4.0,8.8,"restaurant, bar, pool, gym, pet_friendly"
A00158,B00147,1,Pousada Seine II Boutique,"Avenue Copacabana, 4347",Madrid,ES,40.394936,-3.630906,5.0,405.0,4.0,9.4,"pet_friendly, spa, wifi, bar, pool, parking"
A00169,B00158,1,Residency Copacabana,"Rua Central, 9883",Madrid,ES,40.351516,-3.66351,4.7,1147.0,4.0,9.5,"pool, spa, gym, pet_friendly, wifi, air_conditioning"
A00179,B00168,1,Hotel Copacabana,"Avenida Augusta, 5384",Madrid,ES,40.471925,-3.726441,4.8,645.0,5.0,7.7,"pet_friendly, spa, wifi, air_conditioning, bar, gym"
A00193,B00182,1,Hotel Cathedral St. Boutique,"Praça Paulista, 1389",Madrid,ES,40.426488,-3.750702,3.3,1.0,5.0,9.3,"pool, pet_friendly, spa, air_conditioning"
A00201,B00190,1,Pousada Seine,"Ave Central, 1101",Madrid,ES,40.435812,-3.701495,4.3,194.0,3.0,9.1,"gym, wifi, pet_friendly, pool, spa, parking"
A00204,B00193,1,Palace Gaudí Saint,"Avenida Central, 208",Madrid,ES,40.30086,-3.726466,3.6,764.0,3.0,9.6,"parking, restaurant, spa"
A00213,B00202,1,Palace Central II,"Avenida Paulista, 6165",Madrid,ES,40.480137,-3.755085,2.9,338.0,5.0,8.7,"wifi, parking, spa, pet_friendly, bar, pool"
A00232,B00221,1,Hotel Europa II,"Avenue Augusta, 8896",Madrid,ES,40.417315,-3.610665,4.9,413.0,4.0,9.4,"bar, gym, wifi, pet_friendly, parking, spa"
A00235,B00224,1,Hotel Europa,"Rua Paulista, 6589",Madrid,ES,40.400895,-3.725425,4.6,342.0,5.0,7.9,"bar, restaurant, gym, spa"
A00251,B00240,1,Inn Lumière II,"Rua das Flores, 7805",Madrid,ES,40.456647,-3.734317,4.3,292.0,3.0,9.2,"parking, spa, restaurant"
A00256,B00245,1,Grand Hotel Paulista,"Avenida das Flores, 4876",Madrid,ES,40.411195,-3.777423,3.3,1.0,4.0,9.4,"restaurant, spa, wifi, bar"
A00271,B00260,1,Pousada Gaudí Saint,"Rua Liberdade, 3826",Madrid,ES,40.41718,-3.651579,5.0,70.0,3.0,9.5,"parking, bar, gym, wifi"
A00272,B00261,1,Pousada Liberdade II,"R. das Flores, 2842",Madrid,ES,40.456257,-3.676508,3.8,670.0,4.0,8.0,"pet_friendly, bar, restaurant, spa, parking, pool"
A00284,B00273,1,Palace Augusta Saint,Praça dos Andradas 4425,Madrid,ES,40.404772,-3.683473,4.7,981.0,4.0,7.2,"pool, pet_friendly, spa, bar, parking, wifi"
A00305,B00294,1,Paulista Boutique,"Avenue da República, 1904",Madrid,ES,40.325283,-3.679667,5.0,44.0,5.0,9.0,"parking, spa, gym"
A00308,B00297,1,Suites Liberdade,"Praça Copacabana, 4069",Madrid,ES,40.423256,-3.73341,3.3,113.0,3.0,7.4,"restaurant, spa, pet_friendly, parking"
A00316,B00305,1,Pousada Seine & Spa,"Avenue dos Andradas, 6916",Madrid,ES,40.467602,-3.748716,4.1,410.0,5.0,8.1,"pool, bar, wifi"
A00332,B00321,1,Palace Seine II,"Street da República, 923",Madrid,ES,40.460391,-3.762048,4.5,713.0,4.0,7.1,"spa, pool, pet_friendly"
A00371,B00360,1,Residency Seine,"Praça Europa, 7120",Madrid,ES,40.406463,-3.705036,3.6,830.0,4.0,7.9,"air_conditioning, wifi, spa, restaurant, bar, pool"
A00373,B00362,1,Palace Central,Rua Augusta 7702,Madrid,ES,40.494931,-3.772679,5.0,434.0,5.0,9.2,"gym, air_conditioning, wifi, spa, pool"
A00432,B00421,1,Grand Hotel Europa,"Street da Sé, 8882",Madrid,ES,40.543873,-3.686345,4.8,405.0,3.0,8.3,"wifi, spa, pet_friendly, bar, pool"
A00433,B00422,1,Pousada Augusta Saint,"Praça Augusta, 5566",Madrid,ES,40.511663,-3.715095,3.6,440.0,4.0,7.9,"parking, pet_friendly, spa, gym"
A00434,B00423,1,Grand Hotel Copacabana 2,"Avenida dos Andradas, 4814",Madrid,ES,40.467066,-3.717396,4.7,278.0,4.0,8.1,"wifi, air_conditioning, spa"
A00435,B00424,1,Suites Gaudí,"Avenue da Sé, 4436",Madrid,ES,40.439858,-3.656575,3.9,305.0,5.0,8.9,"pet_friendly, gym, spa, wifi, restaurant"
A00077,B00066,1,Palace Copacabana,"Street da República, 6236",Curitiba,BR,-25.373371,-49.249763,3.8,148.0,5.0,8.5,"spa, pet_friendly, wifi"
A00085,B00074,1,Pousada Copacabana,"Avenida dos Andradas, 1708",Curitiba,BR,-25.390555,-49.329515,4.0,747.0,5.0,7.2,"bar, gym, pool"
A00089,B00078,1,Pousada Liberdade,"Praça Augusta, 2256",Curitiba,BR,-25.418167,-49.251543,3.5,621.0,4.0,7.7,"spa, pool, gym"
A00114,B00103,1,Palace Europa II,"Avenue da Sé, 1461",Curitiba,BR,-25.445919,-49.352725,3.2,651.0,5.0,8.3,"bar, pool, gym"
A00117,B00106,1,Suites Copacabana Saint,"Street Copacabana, 4531",Curitiba,BR,-25.377195,-49.357826,3.3,6.0,5.0,8.6,"air_conditioning, parking, gym"
A00123,B00112,1,Inn Lumière Saint,"Praça Liberdade, 9353",Curitiba,BR,-25.391004,-49.261584,5.0,481.0,4.0,8.4,"pool, air_conditioning, pet_friendly, restaurant"
A00129,B00118,1,Pousada Gaudí & Spa,"Street Liberdade, 6414",Curitiba,BR,-25.410375,-49.293454,4.5,1074.0,4.0,7.2,"air_conditioning, pool, gym, bar, spa"
A00134,B00123,1,Inn Copacabana Saint & Spa & Spa,"Praça Liberdade, 95",Curitiba,BR,-25.342942,-49.243353,4.5,581.0,4.0,7.9,"gym, wifi, air_conditioning, pet_friendly, parking"
A00137,B00126,1,Hotel Central Saint,"Avenue da Sé, 1793",Curitiba,BR,-25.450056,-49.289571,4.2,841.0,4.0,9.4,"pet_friendly, parking, spa, gym, pool"
A00143,B00132,1,Residency Lumière II & Spa,"Praça Augusta, 7971",Curitiba,BR,-25.512167,-49.314569,4.3,355.0,4.0,8.1,"air_conditioning, restaurant, spa"
A00149,B00138,1,Palace Cathedral II,"Rua Europa, 9901",Curitiba,BR,-25.360295,-49.293528,3.0,183.0,5.0,9.1,"wifi, pet_friendly, bar"
A00155,B00144,1,Residency Gaudí Saint,"Avenida da República, 8008",Curitiba,BR,-25.396533,-49.231211,3.8,202.0,3.0,8.1,"bar, restaurant, spa, gym, pet_friendly"
A00198,B00187,1,Palace Liberdade,"Avenida Augusta, 7312",Curitiba,BR,-25.466364,-49.19091,3.3,539.0,4.0,8.3,"restaurant, gym, pet_friendly, spa, air_conditioning"
A00211,B00200,1,Grand Hotel Seine,"Praça Copacabana, 4738",Curitiba,BR,-25.421939,-49.286315,3.3,383.0,3.0,7.8,"gym, restaurant, wifi, pet_friendly, air_conditioning, spa"
A00215,B00204,1,Cathedral Saint,"Avenue Liberdade, 3457",Curitiba,BR,-25.498154,-49.318003,4.9,288.0,4.0,9.6,"restaurant, spa, bar"
A00222,B00211,1,Grand Hotel Europa Saint,"Praça Copacabana, 6580",Curitiba,BR,-25.428027,-49.345615,4.5,661.0,3.0,7.7,"parking, pool, bar, pet_friendly"
A00230,B00219,1,Hotel Central,"Street dos Andradas, 1284",Curitiba,BR,-25.415942,-49.338261,4.7,915.0,4.0,8.4,"restaurant, spa, pool, parking, air_conditioning"
A00233,B00222,1,Suites Gaudí II,"Street Central, 686",Curitiba,BR,-25.391554,-49.210225,4.0,486.0,5.0,8.4,"spa, pet_friendly, pool"
A00237,B00226,1,Inn Augusta II,"Avenue dos Andradas, 5775",Curitiba,BR,-25.453695,-49.305264,3.8,758.0,4.0,8.6,"gym, air_conditioning, wifi, parking, pet_friendly, pool"
A00247,B00236,1,Suites Augusta,"Pça. Liberdade, 9032",Curitiba,BR,-25.452622,-49.276857,4.2,510.0,5.0,8.3,"restaurant, pool, spa, air_conditioning"
A00248,B00237,1,Residency Central,"Praça Liberdade, 4089",Curitiba,BR,-25.404952,-49.223323,4.6,1171.0,3.0,9.6,"pool, spa, wifi"
A00249,B00238,1,Inn Cathedral,Praça Augusta 1532,Curitiba,BR,-25.414237,-49.299455,3.5,534.0,3.0,8.2,"pet_friendly, parking, pool, wifi, restaurant"
A00257,B00246,1,Pousada Lumière II,"Avenue Augusta, 5411",Curitiba,BR,-25.424112,-49.342673,3.6,256.0,5.0,7.4,"air_conditioning, pool, pet_friendly, gym"
A00262,B00251,1,Grand Hotel Augusta Saint,"Rua da Sé, 3501",Curitiba,BR,-25.420217,-49.218217,3.8,70.0,4.0,9.4,"bar, parking, gym, wifi, pool, restaurant"
A00265,B00254,1,Suites Europa II,"Avenue Europa, 4010",Curitiba,BR,-25.395565,-49.287493,4.9,663.0,3.0,7.2,"pet_friendly, air_conditioning, parking, pool, bar"
A00274,B00263,1,Inn Central Saint,"Praça Copacabana, 3427",Curitiba,BR,-25.410319,-49.228618,4.1,1.0,4.0,9.0,"spa, parking, pet_friendly, pool"
A00276,B00265,1,Suites Cathedral,"R. Central, 2369",Curitiba,BR,-25.451407,-49.341634,4.0,665.0,3.0,7.2,"pet_friendly, pool, wifi, bar, air_conditioning, gym"
A00292,B00281,1,Inn Paulista,"Street Central, 6708",Curitiba,BR,-25.414909,-49.242138,3.6,442.0,3.0,9.7,"parking, air_conditioning, bar, gym, wifi"
A00295,B00284,1,Residency Cathedral II,"Avenida Europa, 9078",Curitiba,BR,-25.471717,-49.201781,3.6,1004.0,4.0,9.0,"air_conditioning, restaurant, spa, parking, bar, gym"
A00310,B00299,1,Inn Liberdade Saint,"Praça dos Andradas, 2850",Curitiba,BR,-25.389304,-49.328314,4.4,990.0,3.0,9.6,"spa, wifi, pet_friendly, pool, air_conditioning"
A00313,B00302,1,Grand Hotel Liberdade II,"Rua Copacabana, 1338",Curitiba,BR,-25.505721,-49.326486,3.9,776.0,5.0,8.4,"wifi, gym, air_conditioning, parking"
A00329,B00318,1,Grand Hotel Seine,"Praça dos Andradas, 3341",Curitiba,BR,-25.361759,-49.35899,4.3,157.0,3.0,7.8,"gym, restaurant, wifi, pet_friendly, air_conditioning, spa"
A00356,B00345,1,Residency Paulista,"Rua Central, 7118",Curitiba,BR,-25.384845,-49.191052,4.9,734.0,3.0,8.8,"pet_friendly, bar, pool, parking"
A00357,B00346,1,Hotel Seine,"Avenue das Flores, 9941",Curitiba,BR,-25.439192,-49.237076,4.1,894.0,5.0,8.4,"gym, pool, bar, pet_friendly, wifi"
A00372,B00361,1,Grand  Gaudí,"Street dos Andradas, 9418",Curitiba,BR,-25.442014,-49.275818,5.0,284.0,5.0,7.1,"spa, parking, gym, bar, wifi, pet_friendly"
A00375,B00364,1,Hotel Gaudí II,"Avenida Europa, 8308",Curitiba,BR,-25.448718,-49.296611,3.6,417.0,4.0,7.4,"wifi, parking, spa, pet_friendly, pool, bar"
A00376,B00365,1,Pousada Paulista Saint,"Praça da Sé, 1554",Curitiba,BR,-25.462766,-49.21773,4.6,172.0,5.0,8.0,"bar, pet_friendly, gym, parking"
A00378,B00367,1,Residency Cathedral II,"Street Paulista, 4671",Curitiba,BR,-25.461626,-49.324733,4.1,453.0,4.0,9.0,"air_conditioning, restaurant, spa, parking, bar, gym"
A00401,B00390,1,Grand Hotel Central,"Avenida da República, 6361",Curitiba,BR,-25.410375,-49.263721,4.1,182.0,3.0,8.9,"gym, parking, bar"
A00407,B00396,1,Inn Cathedral,"Praça da Sé, 1185",Curitiba,BR,-25.331232,-49.311135,3.7,437.0,3.0,8.2,"pet_friendly, parking, pool, wifi, restaurant"
A00421,B00410,1,Palace Paulista,"Avenida Central, 7081",Curitiba,BR,-25.471232,-49.354508,3.7,610.0,4.0,7.4,"restaurant, parking, pet_friendly, pool, bar, air_conditioning"
A00429,B00418,1,Suites Liberdade,"Praça das Flores, 1168",Curitiba,BR,-25.420097,-49.308206,5.0,268.0,4.0,7.3,"restaurant, parking, air_conditioning, wifi, spa, pool"
A00033,B00114,1,Suites Paulista,"Praça Paulista, 7455",Rio de Janeiro,BR,-22.967976,-43.159806,4.4,730.0,4.0,7.3,"wifi, parking, bar, spa"
A00075,B00064,1,Residency Augusta,"Praça das Flores, 5391",Rio de Janeiro,BR,-22.967044,-43.151021,4.3,775.0,4.0,8.8,"bar, restaurant, gym, pool"
A00078,B00067,1,Hotel Lumière,"Praça Paulista, 5259",Rio de Janeiro,BR,-22.864471,-43.135815,4.4,532.0,3.0,9.3,"parking, bar, pet_friendly"
A00080,B00069,1,Palace Liberdade,"Pça. Paulista, 8155",Rio de Janeiro,BR,-22.892038,-43.172642,4.5,773.0,5.0,9.1,"wifi, air_conditioning, gym, restaurant"
A00084,B00073,1,Grand Hotel Lumière Saint,"Rua Augusta, 7995",Rio de Janeiro,BR,-22.897129,-43.173166,3.0,522.0,3.0,7.5,"bar, gym, spa, parking, restaurant"
A00097,B00086,1,Residency Augusta,"Ave da República, 7422",Rio de Janeiro,BR,-22.926541,-43.141801,4.8,523.0,4.0,8.8,"bar, restaurant, gym, pool"
A00098,B00087,1,Palace Augusta,"Avenida Paulista, 2840",Rio de Janeiro,BR,-22.893515,-43.120248,4.4,839.0,4.0,9.2,"pet_friendly, restaurant, parking"
A00107,B00096,1,Residency Cathedral,"Street Augusta, 1325",Rio de Janeiro,BR,-22.943759,-43.181441,4.3,927.0,5.0,8.6,"spa, air_conditioning, parking, bar, pet_friendly, pool"
A00108,B00097,1,Palace Gaudí St.,"Rua Central, 1532",Rio de Janeiro,BR,-22.928893,-43.147746,4.0,696.0,4.0,8.5,"pet_friendly, parking, restaurant, bar, air_conditioning, pool"
A00115,B00104,1,Hotel Lumière,"Avenida Europa, 3420",Rio de Janeiro,BR,-22.831772,-43.163633,4.7,526.0,3.0,9.3,"parking, bar, pet_friendly"
A00119,B00108,1,Palace Augusta II,R. Europa 6328,Rio de Janeiro,BR,-22.904617,-43.196366,3.4,336.0,5.0,8.0,"air_conditioning, gym, wifi, pet_friendly"
A00120,B00109,1,Pousada Copacabana,"Praça Liberdade, 6778",Rio de Janeiro,BR,-22.938212,-43.114565,3.9,476.0,4.0,7.4,"pool, bar, pet_friendly, air_conditioning, spa"
A00125,B00114,1,Inn Paulista Boutique,"Av. dos Andradas, 2049",Rio de Janeiro,BR,-22.965225,-43.156842,4.9,23.0,4.0,8.1,"restaurant, gym, parking, air_conditioning"
A00159,B00148,1,Inn Gaudí II Boutique,"Rua da República, 7070",Rio de Janeiro,BR,-22.820286,-43.162968,4.2,527.0,5.0,8.9,"gym, parking, air_conditioning, spa, restaurant, pet_friendly"
A00161,B00150,1,Pousada Seine,"Street dos Andradas, 9131",Rio de Janeiro,BR,-22.867359,-43.15959,4.0,281.0,4.0,7.7,"parking, bar, gym, pet_friendly, air_conditioning"
A00165,B00154,1,Inn Central,"Avenue Europa, 5371",Rio de Janeiro,BR,-22.882317,-43.168692,4.2,811.0,5.0,9.2,"gym, spa, parking, pool, bar, air_conditioning"
A00173,B00162,1,Suites Liberdade,Rua Europa 5627,Rio de Janeiro,BR,-22.920511,-43.153008,3.4,939.0,3.0,7.5,"gym, air_conditioning, wifi, bar"
A00176,B00165,1,Grand Copacabana II,"Pça. Central, 8358",Rio de Janeiro,BR,-22.89045,-43.146592,4.4,401.0,5.0,8.5,"wifi, gym, spa, parking, bar, pool"
A00184,B00173,1,Palace Paulista Saint,"Street da República, 3592",Rio de Janeiro,BR,-22.979394,-43.098917,2.3,645.0,4.0,7.9,"wifi, bar, parking, pool, air_conditioning"
A00195,B00184,1,Suites Seine II,"Rua Liberdade, 2990",Rio de Janeiro,BR,-22.880564,-43.167354,4.3,178.0,3.0,8.7,"spa, bar, pool"
A00199,B00188,1,Residency Seine Boutique,Praça Augusta 146,Rio de Janeiro,BR,-22.918995,-43.224658,3.7,248.0,4.0,8.0,"wifi, gym, parking, spa"
A00200,B00189,1,Inn Copacabana,"Avenue Paulista, 631",Rio de Janeiro,BR,-22.940372,-43.214741,3.6,289.0,5.0,8.3,"wifi, pool, parking, bar, restaurant, gym"
A00214,B00203,1,Grand Hotel Copacabana II,"Avenue da República, 8124",Rio de Janeiro,BR,-22.873821,-43.155147,4.6,1026.0,3.0,8.2,"air_conditioning, bar, pool, spa, pet_friendly"
A00216,B00205,1,Residency Liberdade,"Praça Europa, 8755",Rio de Janeiro,BR,-22.896596,-43.203745,3.9,785.0,4.0,8.3,"air_conditioning, wifi, gym"
A00224,B00213,1,Palace Lumière II & Spa,"R. da Sé, 7354",Rio de Janeiro,BR,-22.926629,-43.141498,4.4,434.0,3.0,7.5,"pool, restaurant, gym, parking, bar, pet_friendly"
A00225,B00214,1,Residency Central,"Avenue Europa, 7379",Rio de Janeiro,BR,-22.949958,-43.277028,4.4,601.0,5.0,7.9,"parking, pet_friendly, pool, gym"
A00228,B00217,1,Pousada Liberdade,Pça. dos Andradas 3391,Rio de Janeiro,BR,-22.85809,-43.13052,4.0,900.0,3.0,8.7,"wifi, air_conditioning, gym"
A00238,B00227,1,Suites Cathedral,"Praça Copacabana, 6745",Rio de Janeiro,BR,-22.9207,-43.21389,4.0,415.0,5.0,9.5,"air_conditioning, pool, wifi"
A00243,B00232,1,Grand Hotel Europa,"Avenida Paulista, 3832",Rio de Janeiro,BR,-22.936381,-43.191282,3.5,1.0,5.0,7.4,"pet_friendly, wifi, spa, restaurant, parking, gym"
A00258,B00247,1,Grand  Augusta II,"Street Copacabana, 3745",Rio de Janeiro,BR,-22.903983,-43.209905,4.6,542.0,3.0,7.3,"restaurant, gym, air_conditioning, parking, bar, pet_friendly"
A00261,B00250,1,Residency Seine,"Rua Central, 9429",Rio de Janeiro,BR,-22.866146,-43.106452,4.8,704.0,5.0,7.6,"gym, pool, air_conditioning, parking, restaurant, wifi"
A00290,B00279,1,Inn Lumière Saint,"Avenue Copacabana, 8681",Rio de Janeiro,BR,-22.941185,-43.050535,4.3,372.0,4.0,7.3,"bar, spa, pool, gym"
A00293,B00282,1,Grand Hotel Seine II,"Praça dos Andradas, 1933",Rio de Janeiro,BR,-22.980505,-43.185182,3.8,638.0,4.0,8.5,"wifi, air_conditioning, pool"
A00307,B00296,1,Residency Augusta,"Praça dos Andradas, 2973",Rio de Janeiro,BR,-22.883163,-43.166198,4.4,267.0,4.0,8.8,"bar, restaurant, gym, pool"
A00309,B00298,1,Hotel Europa II,"Rua da República, 3803",Rio de Janeiro,BR,-22.950668,-43.201029,2.9,419.0,5.0,7.7,"pet_friendly, wifi, gym, bar"
A00312,B00301,1,Palace Lumière Saint,"Avenue da República, 8561",Rio de Janeiro,BR,-22.912987,-43.179917,4.1,716.0,5.0,9.3,"air_conditioning, wifi, spa, pool, restaurant, pet_friendly"
A00322,B00311,1,Hotel Liberdade Saint,"Avenue Paulista, 817",Rio de Janeiro,BR,-22.912305,-43.208764,4.9,689.0,4.0,8.1,"gym, spa, wifi, restaurant, air_conditioning"
A00323,B00312,1,Grand Gaudí II,"Rua das Flores, 6812",Rio de Janeiro,BR,-22.918721,-43.088123,4.0,603.0,4.0,8.1,"wifi, restaurant, pet_friendly, parking, bar"
A00334,B00323,1,Suites Lumière,"Avenue dos Andradas, 8093",Rio de Janeiro,BR,-22.897687,-43.190285,4.5,747.0,5.0,7.9,"bar, gym, wifi, pool"
A00344,B00333,1,Palace Liberdade II,"Avenida Copacabana, 1547",Rio de Janeiro,BR,-22.967806,-43.18495,3.6,521.0,5.0,8.2,"parking, bar, pet_friendly, spa, air_conditioning"
A00345,B00334,1,Grand Hotel Augusta Saint Boutique,"Street Liberdade, 6629",Rio de Janeiro,BR,-22.929452,-43.19322,3.3,675.0,4.0,7.9,"pool, air_conditioning, pet_friendly, wifi, bar"
A00358,B00347,1,Hotel Paulista Saint,"Rua da Sé, 7000",Rio de Janeiro,BR,-22.905884,-43.159781,4.0,559.0,5.0,7.6,"restaurant, gym, bar, air_conditioning, wifi, pet_friendly"
A00368,B00357,1,Palace Paulista Saint,"Rua Liberdade, 1074",Rio de Janeiro,BR,-22.963577,-43.257846,4.8,934.0,4.0,7.9,"wifi, bar, parking, pool, air_conditioning"
A00382,B00371,1,Pousada Central,"Street Augusta, 2582",Rio de Janeiro,BR,-22.944435,-43.189695,4.6,209.0,5.0,7.6,"parking, bar, pool, spa"
A00388,B00377,1, Copacabana,"Street Copacabana, 4884",Rio de Janeiro,BR,-22.838014,-43.277911,3.8,256.0,3.0,9.6,"parking, pool, pet_friendly, gym, wifi, spa"
A00398,B00387,1,Pousada Europa & Spa,"Rua Central, 3893",Rio de Janeiro,BR,-22.935377,-43.126437,4.1,612.0,5.0,9.4,"air_conditioning, spa, bar, pool, parking, pet_friendly"
A00079,B00068,1,Grand  Gaudí,"Rua das Flores, 6279",Barcelona,ES,41.345877,2.159832,5.0,167.0,4.0,9.3,"wifi, restaurant, spa, pet_friendly, bar, air_conditioning"
